,Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Test Rate,Country Test Rate,country_flag
69,Czechia,10711019,17731,390.0,0.166%,2.200%,1655,36.0,728670.0,68030.0,Europe,0.06802994187574497,0.06802994187574497,Medium Test Rate
70,Cameroon,26606188,17718,391.0,0.067%,2.207%,666,15.0,149000.0,5600.0,Africa,0.0056002009758030725,0.0056002009758030725,Lower Test Rate
71,Ivory Coast,26437950,16447,103.0,0.062%,0.626%,622,4.0,104584.0,3956.0,Africa,0.0039558286478338905,0.0039558286478338905,Lower Test Rate
72,S. Korea,51273732,14519,303.0,0.028%,2.087%,283,6.0,1613652.0,31471.0,WesternPacific,0.031471319466271734,0.031471319466271734,Medium Test Rate
73,Denmark,5794279,14306,617.0,0.247%,4.313%,2469,106.0,1654512.0,285542.0,Europe,0.28554234271425316,0.28554234271425316,High Test Rate
74,Palestine,5112340,13398,92.0,0.262%,0.687%,2621,18.0,200280.0,39176.0,MiddleEast,0.039175798166788595,0.039175798166788595,Medium Test Rate
75,Bosnia and Herzegovina,3278650,13396,384.0,0.409%,2.867%,4086,117.0,147021.0,44842.0,Europe,0.04484193189269974,0.04484193189269974,Medium Test Rate
76,Bulgaria,6942854,13014,435.0,0.187%,3.343%,1874,63.0,294087.0,42358.0,Europe,0.04235822905105019,0.04235822905105019,Medium Test Rate
77,Madagascar,27755708,12526,134.0,0.045%,1.070%,451,5.0,46301.0,1668.0,Africa,0.001668161374229762,0.001668161374229762,Lower Test Rate
78,Sudan,43943536,11780,763.0,0.027%,6.477%,268,17.0,401.0,9.0,MiddleEast,9.12534667214764e-06,9.12534667214764e-06,Lower Test Rate
79,North Macedonia,2083365,11399,517.0,0.547%,4.535%,5471,248.0,109946.0,52773.0,Europe,0.05277327784617674,0.05277327784617674,Medium Test Rate
80,Senegal,16783877,10715,223.0,0.064%,2.081%,638,13.0,114761.0,6838.0,Africa,0.006837573940752783,0.006837573940752783,Lower Test Rate
81,Norway,5425471,9468,256.0,0.175%,2.704%,1745,47.0,472841.0,87152.0,Europe,0.08715206477004485,0.08715206477004485,Medium Test Rate
82,DRC,89802183,9309,215.0,0.010%,2.310%,104,2.0,,,Africa,,,
83,Malaysia,32406372,9038,125.0,0.028%,1.383%,279,4.0,991333.0,30591.0,WesternPacific,0.03059068136352937,0.03059068136352937,Medium Test Rate
84,French Guiana,299385,8127,47.0,2.715%,0.578%,27146,157.0,41412.0,138324.0,Americas,0.1383235633047748,0.1383235633047748,High Test Rate
85,Gabon,2230563,7787,51.0,0.349%,0.655%,3491,23.0,85369.0,38272.0,Africa,0.038272400286385094,0.038272400286385094,Medium Test Rate
86,Tajikistan,9557468,7665,62.0,0.080%,0.809%,802,6.0,,,Europe,,,
87,Guinea,13164905,7664,49.0,0.058%,0.639%,582,4.0,14407.0,1094.0,Africa,0.001094348952764946,0.001094348952764946,Lower Test Rate
88,Haiti,11416103,7544,171.0,0.066%,2.267%,661,15.0,18443.0,1616.0,Americas,0.001615525017600139,0.001615525017600139,Lower Test Rate
