Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Country Test Rate,country_flag
Senegal,16783877,10715,223,0.06%,2.08%,638,13,114761,6838,Africa,0.006837574,Lower Test Rate
Norway,5425471,9468,256,0.18%,2.70%,1745,47,472841,87152,Europe,0.087152065,Medium Test Rate
Malaysia,32406372,9038,125,0.03%,1.38%,279,4,991333,30591,WesternPacific,0.030590681,Medium Test Rate
French Guiana,299385,8127,47,2.72%,0.58%,27146,157,41412,138324,Americas,0.138323563,High Test Rate
Gabon,2230563,7787,51,0.35%,0.66%,3491,23,85369,38272,Africa,0.0382724,Medium Test Rate
Guinea,13164905,7664,49,0.06%,0.64%,582,4,14407,1094,Africa,0.001094349,Lower Test Rate
Haiti,11416103,7544,171,0.07%,2.27%,661,15,18443,1616,Americas,0.001615525,Lower Test Rate
Finland,5541604,7532,331,0.14%,4.40%,1359,60,389500,70287,Europe,0.070286509,Medium Test Rate
Zambia,18430129,7164,199,0.04%,2.78%,389,11,90307,4900,Africa,0.004899966,Lower Test Rate
Luxembourg,626952,7073,119,1.13%,1.68%,11282,190,623994,995282,Europe,0.995281935,High Test Rate
Mauritania,4660728,6444,157,0.14%,2.44%,1383,34,57387,12313,Africa,0.012312883,Lower Test Rate
Paraguay,7141091,6375,66,0.09%,1.04%,893,9,135277,18943,Americas,0.018943464,Lower Test Rate
Albania,2877470,6016,188,0.21%,3.13%,2091,65,38997,13553,Europe,0.013552531,Lower Test Rate
Lebanon,6822220,5672,70,0.08%,1.23%,831,10,345268,50609,MiddleEast,0.050609332,Medium Test Rate
Croatia,4102577,5404,155,0.13%,2.87%,1317,38,125317,30546,Europe,0.030545923,Medium Test Rate
Djibouti,989387,5330,59,0.54%,1.11%,5387,60,59909,60552,MiddleEast,0.060551634,Medium Test Rate
Greece,10417673,5123,210,0.05%,4.10%,492,20,619393,59456,Europe,0.059455984,Medium Test Rate
Libya,6880353,4879,107,0.07%,2.19%,709,16,59699,8677,MiddleEast,0.008676735,Lower Test Rate
Equatorial Guinea,1407001,4821,83,0.34%,1.72%,3426,59,44356,31525,Africa,0.031525209,Medium Test Rate
Maldives,541448,4680,19,0.86%,0.41%,8643,35,85587,158071,South-EastAsia,0.158070581,High Test Rate
CAR,4837752,4620,59,0.10%,1.28%,955,12,29589,6116,Africa,0.006116271,Lower Test Rate
Hungary,9657785,4597,600,0.05%,13.05%,476,62,352546,36504,Europe,0.036503815,Medium Test Rate
Malawi,19174839,4491,137,0.02%,3.05%,234,7,33466,1745,Africa,0.001745308,Lower Test Rate
Zimbabwe,14883803,4339,84,0.03%,1.94%,292,6,140421,9434,Africa,0.009434484,Lower Test Rate
Hong Kong,7503041,3850,46,0.05%,1.20%,513,6,692430,92287,WesternPacific,0.092286581,Medium Test Rate
Montenegro,628074,3480,60,0.55%,1.72%,5541,96,38427,61182,Europe,0.061182281,Medium Test Rate
